Player Name,Team,Position,City,State,Latitude,Longitude,Population 2016,Population 2017
Devin McCourty,New England,S/FS,Nanuet,New York,41.088707,-74.013473,19836286.0,19849399.0
Danny Amendola,New England,PR/WR/KR,The Woodlands,Texas,30.173419,-95.504686,27904862.0,28304596.0
Johnson Bademosi,New England,CB/SPTM/RCB,Silver Spring,Maryland,38.990666,-77.026088,6024752.0,6052177.0
Chris Hogan,New England,WR,Wyckoff,New Jersey,41.009542,-74.172922,8978416.0,9005644.0
James Develin,New England,RB/FB,Gilbertsville,Pennsylvania,40.320097,-75.610184,12787085.0,12805537.0
Cameron Fleming,New England,T/ROT,Fort Hood,Texas,31.201439,-97.771758,27904862.0,28304596.0
Jonathan Jones,New England,CB/LCB,Carrollton,Georgia,33.58011,-85.076611,10313620.0,10429379.0
Brandin Cooks,New England,WR,Stockton,California,37.957702,-121.29078,39296476.0,39536653.0
Phillip Dorsett,New England,WR/PR,Fort Lauderdale,Florida,26.122308,-80.143379,20656589.0,20984400.0
James White,New England,RB,Fort Lauderdale,Florida,26.122308,-80.143379,20656589.0,20984400.0
Rex Burkhead,New England,RB,Plano,Texas,33.013676,-96.69251,27904862.0,28304596.0
Julian Edelman,New England,WR,Redwood City,California,37.485215,-122.236355,39296476.0,39536653.0
Jordan Richards,New England,S/SS,Sacramento,California,38.581572,-121.4944,39296476.0,39536653.0
Malcolm Butler,New England,CB/LCB,Vicksburg,Mississippi,32.352842,-90.877734,2985415.0,2984100.0
Mike Gillislee,New England,RB,DeLand,Florida,29.019515,-81.294142,20656589.0,20984400.0
Dion Lewis,New England,RB/KR,Albany,New York,42.651167,-73.754968,19836286.0,19849399.0
Bernard Reedy,New England,WR,St. Petersburg,Florida,27.770861,-82.679266,20656589.0,20984400.0
Elandon Roberts,New England,LB/RLB,Port Arthur,Texas,29.898826,-93.928781,27904862.0,28304596.0
Matthew Slater,New England,KR/WR,Orange,California,33.750038,-117.870493,39296476.0,39536653.0
James Harrison,New England,LB/RDE,Akron,Ohio,41.083064,-81.518485,11622554.0,11658609.0
Malcolm Mitchell,New England,WR,Valdosta,Georgia,30.832702,-83.278485,10313620.0,10429379.0
Shaq Mason,New England,C/ROG,Columbia,Tennessee,35.615072,-87.035283,6649404.0,6715984.0
Eric Rowe,New England,CB/RCB,Cleveland,Ohio,41.505161,-81.693445,11622554.0,11658609.0
Duron Harmon,New England,S/FS,Magnolia,Delaware,39.071799,-75.475577,952698.0,961939.0
Stephon Gilmore,New England,CB/RCB,Rock Hill,South Carolina,34.924867,-81.025078,4959822.0,5024369.0
